id,name,schema_definition,created_at,is_active,is_tax_deductible,matching_description,doc_group,display_name_he,ui_category,semantic_signals,group_name
1,Passport,"{""extraction_schema"": {""full_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Full legal name""}, ""issue_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Issue date""}, ""expiry_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Expiration date""}, ""document_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Official document number""}}}",2026-03-06 21:28:35.019722+00,true,false,"Official government travel ID used for international travel, usually with photo, MRZ lines, nationality, birth date, and expiry.",Government ID,דרכון,Identity,"{""keywords_en"": [""passport"", ""nationality"", ""date of birth"", ""expiry date""], ""keywords_he"": [""דרכון"", ""מספר דרכון"", ""לאום"", ""תוקף""], ""layout_hints"": [""photo page"", ""MRZ zone""], ""ocr_patterns"": [""\\\\bP<[A-Z]{3}"", ""\\\\bpassport\\\\b""], ""vendor_examples"": [""Gov.il"", ""Ministry of Interior"", ""Israel Tax Authority"", ""Bituach Leumi"", ""Ministry of Transport"", ""Municipality of Tel Aviv-Yafo"", ""Jerusalem Municipality"", ""IRS"", ""DMV"", ""SSA"", ""USCIS"", ""State Department"", ""USPS""]}",
2,National ID Card,"{""extraction_schema"": {""full_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Full legal name""}, ""issue_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Issue date""}, ""expiry_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Expiration date""}, ""document_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Official document number""}}}",2026-03-06 21:28:35.458778+00,true,false,"National civilian identity card, often including ID number, personal details, and sometimes address supplement.",Government ID,תעודת זהות לאומית,Identity,"{""keywords_en"": [""national id"", ""identity card"", ""id number""], ""keywords_he"": [""תעודת זהות"", ""מספר זהות"", ""ספח""], ""layout_hints"": [""front and back side""], ""ocr_patterns"": [""\\\\b\\\\d{9}\\\\b""], ""vendor_examples"": [""Gov.il"", ""Ministry of Interior"", ""Israel Tax Authority"", ""Bituach Leumi"", ""Ministry of Transport"", ""Municipality of Tel Aviv-Yafo"", ""Jerusalem Municipality"", ""IRS"", ""DMV"", ""SSA"", ""USCIS"", ""State Department"", ""USPS""]}",
3,Driver License,"{""extraction_schema"": {""full_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Full legal name""}, ""issue_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Issue date""}, ""expiry_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Expiration date""}, ""document_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Official document number""}}}",2026-03-06 21:28:35.806868+00,true,false,"Government-issued driving license with classes, driver details, and expiration date.",Government ID,רישיון נהיגה,Identity,"{""keywords_en"": [""driver license"", ""class"", ""restrictions""], ""keywords_he"": [""רישיון נהיגה"", ""מספר רישיון"", ""תוקף""], ""layout_hints"": [""card layout"", ""vehicle classes row""], ""ocr_patterns"": [""\\\\bDL\\\\b""], ""vendor_examples"": [""Gov.il"", ""Ministry of Interior"", ""Israel Tax Authority"", ""Bituach Leumi"", ""Ministry of Transport"", ""Municipality of Tel Aviv-Yafo"", ""Jerusalem Municipality"", ""IRS"", ""DMV"", ""SSA"", ""USCIS"", ""State Department"", ""USPS""]}",
4,Residence Permit,"{""extraction_schema"": {""full_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Full legal name""}, ""issue_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Issue date""}, ""expiry_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Expiration date""}, ""document_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Official document number""}}}",2026-03-06 21:28:36.155511+00,true,false,"Permit granting residency or legal stay, often with immigration authority branding and validity dates.",Government ID,היתר שהייה,Identity,"{""keywords_en"": [""residence permit"", ""temporary resident""], ""keywords_he"": [""אשרת שהייה"", ""אישור תושבות""], ""layout_hints"": [""permit card or letter""], ""ocr_patterns"": [""\\\\bpermit\\\\b""], ""vendor_examples"": [""Gov.il"", ""Ministry of Interior"", ""Israel Tax Authority"", ""Bituach Leumi"", ""Ministry of Transport"", ""Municipality of Tel Aviv-Yafo"", ""Jerusalem Municipality"", ""IRS"", ""DMV"", ""SSA"", ""USCIS"", ""State Department"", ""USPS""]}",
5,Visa Document,"{""extraction_schema"": {""full_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Full legal name""}, ""issue_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Issue date""}, ""expiry_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Expiration date""}, ""document_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Official document number""}}}",2026-03-06 21:28:36.510032+00,true,false,Travel or immigration visa document or page authorizing entry/stay in a country.,Government ID,מסמך ויזה,Identity,"{""keywords_en"": [""visa"", ""entry permit""], ""keywords_he"": [""ויזה"", ""אשרת כניסה""], ""layout_hints"": [""sticker page or approval letter""], ""ocr_patterns"": [""\\\\bvisa\\\\b""], ""vendor_examples"": [""Gov.il"", ""Ministry of Interior"", ""Israel Tax Authority"", ""Bituach Leumi"", ""Ministry of Transport"", ""Municipality of Tel Aviv-Yafo"", ""Jerusalem Municipality"", ""IRS"", ""DMV"", ""SSA"", ""USCIS"", ""State Department"", ""USPS""]}",
6,Birth Certificate,"{""extraction_schema"": {""full_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Full legal name""}, ""issue_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Issue date""}, ""expiry_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Expiration date""}, ""document_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Official document number""}}}",2026-03-06 21:28:36.865103+00,true,false,"Official birth record listing the person, birth date, place of birth, and parents.",Government ID,תעודת לידה,Identity,"{""keywords_en"": [""birth certificate"", ""place of birth""], ""keywords_he"": [""תעודת לידה"", ""מקום לידה""], ""layout_hints"": [""certificate header""], ""ocr_patterns"": [], ""vendor_examples"": [""Gov.il"", ""Ministry of Interior"", ""Israel Tax Authority"", ""Bituach Leumi"", ""Ministry of Transport"", ""Municipality of Tel Aviv-Yafo"", ""Jerusalem Municipality"", ""IRS"", ""DMV"", ""SSA"", ""USCIS"", ""State Department"", ""USPS""]}",
7,Marriage Certificate,"{""extraction_schema"": {""full_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Full legal name""}, ""issue_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Issue date""}, ""expiry_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Expiration date""}, ""document_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Official document number""}}}",2026-03-06 21:28:37.135236+00,true,false,Official certificate of marriage between two people.,Government ID,תעודת נישואין,Identity,"{""keywords_en"": [""marriage certificate"", ""spouse""], ""keywords_he"": [""תעודת נישואין""], ""layout_hints"": [""certificate header""], ""ocr_patterns"": [], ""vendor_examples"": [""Gov.il"", ""Ministry of Interior"", ""Israel Tax Authority"", ""Bituach Leumi"", ""Ministry of Transport"", ""Municipality of Tel Aviv-Yafo"", ""Jerusalem Municipality"", ""IRS"", ""DMV"", ""SSA"", ""USCIS"", ""State Department"", ""USPS""]}",
8,Divorce Certificate,"{""extraction_schema"": {""full_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Full legal name""}, ""issue_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Issue date""}, ""expiry_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Expiration date""}, ""document_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Official document number""}}}",2026-03-06 21:28:37.378545+00,true,false,Official divorce / dissolution certificate issued by a court or civil registry.,Government ID,תעודת גירושין,Identity,"{""keywords_en"": [""divorce certificate""], ""keywords_he"": [""תעודת גירושין""], ""layout_hints"": [""court / registry header""], ""ocr_patterns"": [], ""vendor_examples"": [""Gov.il"", ""Ministry of Interior"", ""Israel Tax Authority"", ""Bituach Leumi"", ""Ministry of Transport"", ""Municipality of Tel Aviv-Yafo"", ""Jerusalem Municipality"", ""IRS"", ""DMV"", ""SSA"", ""USCIS"", ""State Department"", ""USPS""]}",
9,Name Change Certificate,"{""extraction_schema"": {""full_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Full legal name""}, ""issue_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Issue date""}, ""expiry_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Expiration date""}, ""document_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Official document number""}}}",2026-03-06 21:28:37.637577+00,true,false,Official record confirming legal change of name.,Government ID,תעודת שינוי שם,Identity,"{""keywords_en"": [""name change certificate""], ""keywords_he"": [""שינוי שם""], ""layout_hints"": [""registry / court header""], ""ocr_patterns"": [], ""vendor_examples"": [""Gov.il"", ""Ministry of Interior"", ""Israel Tax Authority"", ""Bituach Leumi"", ""Ministry of Transport"", ""Municipality of Tel Aviv-Yafo"", ""Jerusalem Municipality"", ""IRS"", ""DMV"", ""SSA"", ""USCIS"", ""State Department"", ""USPS""]}",
10,Student ID,"{""extraction_schema"": {""full_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Full legal name""}, ""issue_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Issue date""}, ""expiry_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Expiration date""}, ""document_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Official document number""}}}",2026-03-06 21:28:37.929893+00,true,false,School or university identification card used for campus access and verification.,Card / Pass,תעודת סטודנט,Identity,"{""keywords_en"": [""student id"", ""campus""], ""keywords_he"": [""כרטיס סטודנט""], ""layout_hints"": [""plastic card layout""], ""ocr_patterns"": [], ""vendor_examples"": [""Hebrew University"", ""Tel Aviv University"", ""Technion"", ""NYU"", ""UCLA""]}",
11,Employee ID,"{""extraction_schema"": {""full_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Full legal name""}, ""issue_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Issue date""}, ""expiry_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Expiration date""}, ""document_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Official document number""}}}",2026-03-06 21:28:38.165802+00,true,false,Employee or workplace ID card used for office access and identification.,Card / Pass,מזהה עובד,Identity,"{""keywords_en"": [""employee id"", ""staff card""], ""keywords_he"": [""כרטיס עובד""], ""layout_hints"": [""badge/card layout""], ""ocr_patterns"": [], ""vendor_examples"": [""Citi"", ""Microsoft"", ""Google"", ""Amazon""]}",
12,Health Fund Card,"{""extraction_schema"": {""full_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Full legal name""}, ""issue_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Issue date""}, ""expiry_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Expiration date""}, ""document_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Official document number""}}}",2026-03-06 21:28:38.400084+00,true,false,Health plan or kupat holim membership card used for healthcare services.,Card / Pass,כרטיס קופת חולים,Identity,"{""keywords_en"": [""health plan card"", ""member id""], ""keywords_he"": [""כרטיס קופת חולים""], ""layout_hints"": [""card layout""], ""ocr_patterns"": [], ""vendor_examples"": [""Clalit"", ""Maccabi"", ""Meuhedet"", ""Leumit"", ""Assuta"", ""Sheba"", ""State Farm"", ""GEICO"", ""Progressive"", ""Allstate"", ""UnitedHealthcare"", ""Blue Cross Blue Shield"", ""Aetna"", ""Cigna""]}",
13,Bank Statement,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""issue_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Statement date""}, ""account_holder"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account holder / customer name""}, ""account_number"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account / policy / card number""}, ""ending_balance"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Ending balance / amount""}, ""statement_period"": {""required"": false, ""data_type"": ""string"", ""description"": ""Statement period""}}}",2026-03-06 21:28:38.624983+00,true,false,Periodic bank account statement listing balances and transactions.,Banking,דוח בנק,Money,"{""keywords_en"": [""bank statement"", ""transactions"", ""ending balance""], ""keywords_he"": [""דפי חשבון"", ""תנועות"", ""יתרה""], ""layout_hints"": [""statement period header"", ""transaction table""], ""ocr_patterns"": [""\\\\baccount\\\\b"", ""\\\\bstatement\\\\b""], ""vendor_examples"": [""Bank Hapoalim"", ""Bank Leumi"", ""Israel Discount Bank"", ""Mizrahi-Tefahot"", ""First International Bank of Israel"", ""Bank of Jerusalem"", ""One Zero"", ""Chase"", ""Bank of America"", ""Wells Fargo"", ""Citibank"", ""Capital One"", ""PNC"", ""U.S. Bank""]}",
14,Credit Card Statement,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""issue_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Statement date""}, ""account_holder"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account holder / customer name""}, ""account_number"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account / policy / card number""}, ""ending_balance"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Ending balance / amount""}, ""statement_period"": {""required"": false, ""data_type"": ""string"", ""description"": ""Statement period""}}}",2026-03-06 21:28:38.848632+00,true,false,"Monthly credit card statement with charges, credits, minimum payment, and due date.",Banking,דוח כרטיס אשראי,Money,"{""keywords_en"": [""credit card statement"", ""minimum payment"", ""payment due""], ""keywords_he"": [""פירוט אשראי"", ""סכום לתשלום""], ""layout_hints"": [""merchant table"", ""payment summary""], ""ocr_patterns"": [""\\\\bminimum payment\\\\b""], ""vendor_examples"": [""ישראכרט"", ""MAX"", ""כאל"", ""Visa"", ""Mastercard"", ""American Express"", ""Discover"", ""Chase"", ""Amex""]}",
15,Debit Card Statement,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""issue_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Statement date""}, ""account_holder"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account holder / customer name""}, ""account_number"": {""required"": false, ""data_type"": ""string"", ""description"": ""Account / policy / card number""}, ""ending_balance"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Ending balance / amount""}, ""statement_period"": {""required"": false, ""data_type"": ""string"", ""description"": ""Statement period""}}}",2026-03-06 21:28:39.080459+00,true,false,Statement summarizing debit card purchases and account-linked spending.,Banking,דוח כרטיס חיוב,Money,"{""keywords_en"": [""debit card statement""], ""keywords_he"": [""דביט""], ""layout_hints"": [""transaction table""], ""ocr_patterns"": [], ""vendor_examples"": [""Chase"", ""Bank of America"", ""Wells Fargo"", ""Citibank"", ""Capital One"", ""PNC"", ""U.S. Bank"", ""Visa"", ""Mastercard"", ""American Express"", ""Discover""]}",
